nombre_proveedor,n_contratos,valor_total,valor_max,entidades,score_promedio
URIEL DE JESUS GONZALEZ GONZALEZ,9,8418126294177,8418092946025,1,15.777777777777779
Valentina Torres David,8,8027893558397,8027775888889,2,18.75
Andres Felipe Isaza Piedrahita,14,6936300681098,6936186064896,1,20.285714285714285
Brayan,8,5966056758235,5965933260676,1,22.75
Sin Descripcion,6213,4946497132733,4827868012081,46,20.455335586673105
EMPRESA DE DESARROLLO URBANO DE MEDELLIN,122,3638578701725,379790887521,10,36.07377049180328
TERMINALES DE TRANSPORTE DE MEDELLIN S.A.,43,3303207968679,3058409476300,2,34.7906976744186
INSTITUTO PARA EL DESARROLLO DE ANTIOQUIA IDEA,127,3257648987913,358283324633,9,29.62204724409449
ESU,247,2345881062478,323477752507,19,32.75303643724696
ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLIN - TELEMEDELLIN,131,2335077959822,2151000000000,12,27.404580152671755
MUNICIPIO DE GUATAPE,36,1817457395898,1799251969000,4,22.27777777777778
ERWIN MENESES OSPINA,11,1638421708900,1638400000000,1,22.545454545454547
CORPORACIÓN PARQUE ARVÍ,29,1606590342830,1500000000000,6,32.827586206896555
INSTITUCIÓN UNIVERSITARIA ITM,386,1520753876936,38450000000,9,33.65025906735751
UNIVERSIDAD DE ANTIOQUIA,682,1505781611355,59999650005,23,19.680351906158357
EMPRESA SOCIAL DEL ESTADO METROSALUD,183,1416724477223,107597895039,2,37.84153005464481
BANCOLOMBIA,18,1114780892801,503210859577,2,17.444444444444443
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,22,1114682738169,227446062777,6,26.681818181818183
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,127,1068334473326,180722633000,10,17.74015748031496
RENTING DE ANTIOQUIA,85,979696088661,152922119575,4,29.270588235294117
