nombre_entidad,nombre_proveedor,valor_del_contrato,score,nivel,razon_principal,impacto_ciudadano
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,MAH INGENIERIA SAS,3269140575,73,ALTO,Contratación directa $3.3B sin licitación,1.1 colegios nuevos
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,MEJÍA ACEVEDO S.A.S,16884762649,73,ALTO,Contratación directa $16.9B sin licitación,5.6 colegios nuevos
DEPARTAMENTO DE ANTIOQUIA//,CORPORACIÓN AYUDA HUMANITARIA,2856102487,69,ALTO,Contratación directa $2.9B sin licitación,8 ambulancias equipadas
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,UNE EPM TELECOMUNICACIONES S.A,3828183492,69,ALTO,Contratación directa $3.8B sin licitación,1.3 colegios nuevos
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,TND GROUP S.A.S,2642692500,66,ALTO,Contratación directa $2.6B sin licitación,8 ambulancias equipadas
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,EFECTIVO LIMITADA,16858199600,66,ALTO,Contratación directa $16.9B sin licitación,5.6 colegios nuevos
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,CORPORACIÓN COLOMBIA AVANZA,7168848968,66,ALTO,Contratación directa $7.2B sin licitación,2.4 colegios nuevos
DEPARTAMENTO DE ANTIOQUIA//,BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.,5526000000,66,ALTO,Contratación directa $5.5B sin licitación,1.8 colegios nuevos
DEPARTAMENTO DE ANTIOQUIA//,DEPARTAMENTO DE ANTIOQUIA - UT MAPFRE-AXA-ALLIANZ-SURA-SBS,9329495235,66,ALTO,Contratación directa $9.3B sin licitación,3.1 colegios nuevos
DEPARTAMENTO DE ANTIOQUIA//,QUIRURGIL S.A.S.,2856000000,66,ALTO,Contratación directa $2.9B sin licitación,8 ambulancias equipadas
